fid;PK_UID;BEDRIJF;ADRES;HUISNR;WOONPLAATS;Postcode;klasse;categorie;NETTO_OPP;VERMOGEN;E_VERBRUIK;WA_LT;WA_LT_POT;RESTW_TEMP;UITKOPPEL;X;Y
33;38;Interxion;Cessnalaan;1-33;Schiphol-Rijk;1119 NJ;4;Middel-klein;2000-5000;0,5-2,5;8,8-22;6-15;12-30;20-25;(4) uitkoppeling pas mogelijk na een grote investering;112952;477537
34;3;BIT;Galileïlaan;19;Ede;6716 BP;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(1) uitkoppeling wamte vindt al plaats;171270;448819
35;39;Interxion;Tupolevlaan;101;Schiphol-Rijk;1119 PA;4;Middel-klein;2000-5000;5-12;22-44;15-30;30-60;20-25;(2) uitkoppeling warmte is voorbereid;111808;477084
36;40;Interxion;Koolhovenlaan;25;Schiphol-Rijk;1119 NB;4;Middel-klein;2000-5000;5-12;onbekend;onbekend;30-60;20-25;(4) uitkoppeling pas mogelijk na een grote investering;112612;477662
37;41;Interxion;Cessnalaan;50;Schiphol-Rijk;1119 NL;5;Middel-klein;5000-10K;12-25;44-176;30-120;60-240;20-25;(4) uitkoppeling pas mogelijk na een grote investering;112589;477228
38;42;Interxion;Pudongweg;37;Rozenburg;1437 EM;5;Middel-klein;5000-10K;12-25;44-176;30-120;60-240;25-30;(4) uitkoppeling pas mogelijk na een grote investering;111062;476659
39;43;Interxion;Science Park;121;Amsterdam;1098 XG;4;Middel-klein;2000-5000;2,5-5;8,8-22;6-15;12-30;20-25;(4) uitkoppeling pas mogelijk na een grote investering;125401;485445
40;44;Interxion;Pudongweg;25;Rozenburg;1437 EM;6;Middel-groot;10K-40K;25-100;44-176;30-120;60-240;25-30;(4) uitkoppeling pas mogelijk na een grote investering;110907;476577
41;45;Digital Realty;Jan Wijsmullerdreef;4, 10;Hoofddorp;2132 PW;4;Middel-klein;2000-5000;25-100;8,8-22;6-15;60-240;20-25;(4) uitkoppeling pas mogelijk na een grote investering;106537;478288
42;46;Digital Realty;Science Park;120;Amsterdam;1098 XG;5;Middel-klein;5000-10K;12-25;8,8-22;6-15;60-240;20-25;(4) uitkoppeling pas mogelijk na een grote investering;125281;485551
43;47;Digital Realty;H.J.E. Wenckebachweg;127;Amsterdam;1096 AM;4;Middel-klein;2000-5000;5-12;8,8-22;6-15;30-60;20-25;(4) uitkoppeling pas mogelijk na een grote investering;123975;483272
44;48;Ecoracks;Ambachtsweg;25;Eindhoven;5627 BZ;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;6-12;20-25;(4) uitkoppeling pas mogelijk na een grote investering;158654;387654
45;4;BIT;Galileïlaan;19;Ede;6716 BP;3;Klein;1000-2000;2,5-5;4,4-8,8;3-6;12-30;20-25;(1) uitkoppeling wamte vindt al plaats;171270;448819
46;49;Ecostora;Kruiwiel;2C;Hardenberg;7773 NL;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;236882;510247
47;5;BT;Nieuwe Hemweg;6P;Amsterdam;1013 BG;3;Klein;1000-2000;0,5-2,5;4,4-8,8;3-6;6-12;20-25;(4) uitkoppeling pas mogelijk na een grote investering;119675;489822
48;6;Bytesnet;De Bunders;1;Groningen;9747 AX;4;Middel-klein;2000-5000;5-12;8,8-22;6-15;30-60;35-50;(1) uitkoppeling wamte vindt al plaats;231413;583314
49;7;Bytesnet;Vlaardingweg;62;Rotterdam;3044 CK;3;Klein;1000-2000;2,5-5;4,4-8,8;3-6;12-30;20-25;(4) uitkoppeling pas mogelijk na een grote investering;88062;438462
50;8;Cegeka;Transportlaan;100;Geleen;6163 CX ;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;185980;332351
51;99;NorthC;Lakenblekerstraat;13;Aalsmeer;1431 GE;4;Middel-klein;2000-5000;5-12;22-44;15-30;60-240;20-25;(1) uitkoppeling wamte vindt al plaats;113091;474818
52;100;NorthC;Kabelweg;48;Amsterdam;1014 BB;4;Middel-klein;2000-5000;5-12;8,8-22;6-15;30-60;20-25;(4) uitkoppeling pas mogelijk na een grote investering;118382;489641
53;101;NorthC;Heertjeslaan;1;Delft;2629 JG;4;Middel-klein;2000-5000;5-12;8,8-22;6-15;30-60;20-25;(4) uitkoppeling pas mogelijk na een grote investering;85698;444833
54;102;NorthC;High Tech Campus;53;Eindhoven;5656 AG;3;Klein;1000-2000;2,5-5;4,4-8,8;3-6;12-30;20-25;(1) uitkoppeling wamte vindt al plaats;159979;379859
55;103;NorthC;Liverpoolweg;10;Groningen;9744 TW;3;Klein;1000-2000;0,5-2,5;4,4-8,8;3-6;6-12;20-25;(4) uitkoppeling pas mogelijk na een grote investering;227615;580666
56;104;NorthC;Frieslandhaven;6;Nieuwegein;3433 PC;4;Middel-klein;2000-5000;5-12;22-44;15-30;30-60;20-25;(4) uitkoppeling pas mogelijk na een grote investering;135581;447761
57;105;NorthC;Fokkerweg;300;Oude Meer;1438 AN;5;Middel-klein;5000-10K;12-25;22-44;15-30;60-240;20-25;(4) uitkoppeling pas mogelijk na een grote investering;113782;478124
58;106;NorthC;Anthony Fokkerweg;40;Rotterdam;3088 GG;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;90346;432286
59;107;NorthC;Tempelhof;5;Rotterdam;3045 PV;3;Klein;1000-2000;2,5-5;4,4-8,8;3-6;12-30;20-25;(4) uitkoppeling pas mogelijk na een grote investering;90427;440951
60;108;NTT;Aviolanda;1;Rozenburg;1437 ED;5;Middel-klein;5000-10K;25-100;44-176;30-120;60-240;30-35;(3) uitkoppeling van warmte vraagt enige investering;111182;477515
61;109;Previder;Barnsteenstraat;15;Hengelo;7554 TC;3;Klein;1000-2000;5-12;8,8-22;6-15;60-240;20-25;(4) uitkoppeling pas mogelijk na een grote investering;249226;473780
62;110;Previder;Expolaan;50;Hengelo;7556 BE;4;Middel-klein;2000-5000;5-12;22-44;6-15;30-60;20-25;(1) uitkoppeling wamte vindt al plaats;249156;478372
63;111;QTS;Huibertgatweg;2;Eemshaven;9979 XZ;6;Middel-groot;10K-40K;12-25;8,8-22;30-120;60-240;20-25;(4) uitkoppeling pas mogelijk na een grote investering;252821;606620
64;112;QTS;Zernikelaan;16;Groningen;9747 AA;4;Middel-klein;2000-5000;5-12;8,8-22;15-30;12-30;20-25;(2) uitkoppeling warmte is voorbereid;231193;584995
65;113;RAM Infotechnology;Ptolemaeuslaan;69;Utrecht;3528 BR;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;133852;453474
66;114;RUG Rekenhal;Nettelbosje;1;Groningen;9747 AJ;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;6-12;20-25;(4) uitkoppeling pas mogelijk na een grote investering;231688;584105
67;115;Sentia Gyrocenter;Gyroscoopweg;134-140;Amsterdam;1042 AZ;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;6-12;20-25;(4) uitkoppeling pas mogelijk na een grote investering;117965;490432
68;116;Serverfarm;Archangelkade;1;Amsterdam;1013 BE;5;Middel-klein;5000-10K;12-25;44-176;30-120;60-240;20-25;(3) uitkoppeling van warmte vraagt enige investering;119880;489865
69;117;Serverius;Laan van de Ram;39;Apeldoorn;7324 BW;4;Middel-klein;2000-5000;5-12;8,8-22;6-15;30-60;20-25;(4) uitkoppeling pas mogelijk na een grote investering;196929;473404
70;118;Serverius;De Linge;26;Dronten;8253 PJ;3;Klein;1000-2000;0,5-2,5;4,4-8,8;3-6;6-12;20-25;(4) uitkoppeling pas mogelijk na een grote investering;176563;506279
71;119;Serverius;Ketelskamp;10;Meppel;7942 KG;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;6-12;20-25;(4) uitkoppeling pas mogelijk na een grote investering;209927;525919
72;120;Skylink;Bart van Slobbestraat;16B;Eygelshoven;6471 WV;3;Klein;1000-2000;2,5-5;4,4-8,8;3-6;12-30;20-25;(4) uitkoppeling pas mogelijk na een grote investering;203037;323099
73;121;SmartDC;Kloosterweg;1;Heerlen;6412 CN;3;Klein;1000-2000;2,5-5;4,4-8,8;3-6;12-30;20-25;(4) uitkoppeling pas mogelijk na een grote investering;196191;322639
74;122;SmartDC;Van Nelleweg;1;Rotterdam;3044 BC;4;Middel-klein;2000-5000;5-12;8,8-22;15-30;30-60;20-25;(2) uitkoppeling warmte is voorbereid;89478;437581
75;123;Solcon;Het Spaarne;11;Dronten;8253 PE;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;176372;505793
76;124;Switch;Keienbergweg;22;Amsterdam;1101 GB;4;Middel-klein;2000-5000;5-12;8,8-22;6-15;30-60;20-25;(2) uitkoppeling warmte is voorbereid;124230;480270
77;125;Switch;Treubweg;9;Diemen;1112 BA;5;Middel-klein;5000-10K;12-25;22-44;15-30;60-240;30-35;(2) uitkoppeling warmte is voorbereid;126786;482707
78;126;Switch;Polanerbaan;1;Woerden;3447 GN;4;Middel-klein;2000-5000;2,5-5;8,8-22;6-15;12-30;30-35;(2) uitkoppeling warmte is voorbereid;121076;455014
79;127;Systemec;Marinus Dammeweg;19;Venlo;5928 PW;1;Klein;<200;<0,5;<0,9;<0,6;1,2-6;20-25;(2) uitkoppeling warmte is voorbereid;208724;376864
80;128;Systemec;Marinus Dammeweg;25;Venlo;5928 PW;1;Klein;<200;<0,5;0,9-4,4;<0,6;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;208745;376845
81;129;T-Mobile;Gyroscoopweg;148;Amsterdan;1042 AZ;4;Middel-klein;2000-5000;5-12;8,8-22;6-15;30-60;20-25;(4) uitkoppeling pas mogelijk na een grote investering;117942;490497
82;130;Verizon;Kollenbergweg;13;Amsterdam;1101 AT;3;Klein;1000-2000;0,5-2,5;4,4-8,8;3-6;6-12;25-30;(4) uitkoppeling pas mogelijk na een grote investering;124200;479771
83;131;Verizon;Cateringweg;5;Schiphol;1118 AM;4;Middel-klein;2000-5000;0,5-2,5;8,8-22;6-15;6-12;20-25;(4) uitkoppeling pas mogelijk na een grote investering;115080;481757
84;132;Verizon;Koperstraat;6;Rotterdam;3067 GL;2;Klein;200-1000;<0,5;0,9-4,4;0,6-3;1,2-6;25-30;(4) uitkoppeling pas mogelijk na een grote investering;97515;440470
85;50;Edgeconnex;Koolhovenlaan;12;Schiphol-Rijk;1119 NE;3;Klein;1000-2000;5-12;22-44;6-15;30-60;30-35;(4) uitkoppeling pas mogelijk na een grote investering;112619;477521
86;51;Edgeconnex;Cessnalaan;55;Schiphol-Rijk;1119 NK;4;Middel-klein;2000-5000;12-25;44-176;30-120;60-240;30-35;(4) uitkoppeling pas mogelijk na een grote investering;112619;477521
