fid;P50
1719;2.313903
1720;2.613884
1721;1.954573
1722;1.72293
1723;1.918416
1724;2.159447
1725;2.26583
1726;7.445184
1727;7.580339
1728;8.434789
1729;9.32388
1730;8.303313
1731;6.816435
1732;3.886406
1733;6.362381
1734;6.244601
1735;2.048628
1736;7.977657
1737;19.138077
1738;24.802887
1739;28.973228
1740;31.430498
1741;33.034214
1742;33.041451
1743;33.44799
1744;32.608631
1745;32.036201
1746;31.337999
1747;28.639727
1748;17.052784
1749;0.417558
1750;0.455023
1751;0.333995
1752;0.175882
1753;0.061274
1754;0.202507
1755;0.234118
1756;0.311915
1757;0.150748
1758;2.248779
1759;4.360806
1760;4.410796
1761;3.728453
1762;2.341642
1763;2.348178
1764;2.811411
1765;2.189894
1766;2.033654
1767;1.966028
1768;1.78976
1769;1.757816
1770;1.72932
1771;1.743268
1772;1.783995
1773;1.784824
1774;1.87369
1775;1.72181
1776;1.718082
1777;1.664662
1778;1.552036
1779;1.558514
1780;1.596915
1781;1.511945
1782;1.583092
1783;1.544087
1784;1.591625
1785;1.665278
1786;2.267075
1787;2.462492
1788;2.438499
1789;1.840069
1790;1.705834
1791;1.805408
1792;1.814446
1793;1.776508
1794;1.818414
1795;1.854296
1796;1.769473
1797;2.483284
1798;2.372278
1799;2.302649
1800;2.10652
1801;1.017125
1802;0.987185
1803;0.883656
1804;0.824163
1805;0.933401
1806;0.734916
1807;0.737234
1808;0.742041
1809;0.728013
1810;0.727622
1811;0.864409
1812;0.964914
1813;0.920475
1814;0.556811
1815;0.520276
1816;1.397217
1817;1.953208
1818;2.438677
1819;2.84653
1820;4.836723
1821;2.588469
1822;2.225689
1823;9.092815
1824;12.592801
1825;9.514226
1826;10.025754
1827;9.075001
1828;8.384539
1829;6.811641
1830;1.771204
1831;1.931495
1832;9.790812
1833;11.006034
1834;10.517966
1835;4.14933
1836;1.622059
1837;1.550296
1838;1.506923
1839;4.069448
1840;6.969323
1841;1.652031
1842;1.686587
1843;6.982417
1844;13.523296
1845;32.301567
1846;34.954178
1847;35.134575
1848;34.897469
1849;28.155033
1850;9.958525
1851;14.817995
1852;30.726738
1853;25.519743
1854;12.664659
1855;15.146872
1856;0.446169
1857;0.282724
1858;0.05438
1859;0.05466
1860;0.230303
1861;0.355064
1862;0.384679
1863;0.387962
1864;0.340627
1865;4.508421
1866;4.509476
